,name,city,state,twitter_handle
380,Top Dog Grooming,Mesa,AZ,coolcitydogs
381,Dynasty Legal Documents,Mesa,AZ,DynastyLegalDoc
382,Going Green Solar,Phoenix,AZ,goinggreensolar
383,Finesse Construction,Scottsdale,AZ,FinesseKid_X2
384,Charlotte NC Tours,Charlotte,NC,CharlotteNCTour
385,Shop n Save,Pittsburgh,PA,ShopNSaveMoney
386,Delicious Donuts,Pittsburgh,PA,DeliciousDonut1
387,Extra Space Storage,Phoenix,AZ,extraspace
388,Cold Stone Creamery,Pittsburgh,PA,ColdStone
389,Las Vegas Recovery Center,Las Vegas,NV,drmelpohl
390,Chili's,Charlotte,NC,Chilis
391,DICK'S Sporting Goods,Pittsburgh,PA,DICKS
392,American Shooters,Las Vegas,NV,AmericanHunter
393,BBVA Compass,Gilbert,AZ,BBVACompass
394,The UPS Store,Las Vegas,NV,TheUPSStore
395,Dare to Escape AZ,Tempe,AZ,DareToEscapeAZ
396,"Helpings Cafe, Market and Catering",Phoenix,AZ,HelpingsCafe
397,Loafers Bread Co,Pittsburgh,PA,LoafersWexford
398,Pad Thai Express,Pittsburgh,PA,kcpadthai
399,Nomad Krav Maga,Las Vegas,NV,NomadKravMaga
400,Chevron,Las Vegas,NV,Chevron
401,Faster,Pittsburgh,PA,FasterMovie
402,Lady Luck Tattoo,Phoenix,AZ,ladyluckphx
403,Jiffy Lube,Pittsburgh,PA,jiffylube
404,Healthy Smiles Dental,Las Vegas,NV,DentistsofABQ
405,Image Eye Care,Las Vegas,NV,ImageEyeCare
406,Goodwill,Phoenix,AZ,GoodwillIntl
407,Southwest Airlines,Las Vegas,NV,SouthwestAir
408,The Pain Center,Phoenix,AZ,ThePainCenter
409,Dairy Queen,Phoenix,AZ,DairyQueen
410,Lumber Liquidators,Las Vegas,NV,hardwoodforless
411,Taste My Love,Las Vegas,NV,TasteMy_Love
412,AutoZone,Tempe,AZ,autozone
413,Totem Tattoo,Las Vegas,NV,JhTotem
414,Team Ford Lincoln,Las Vegas,NV,TeamFord
415,U.S. Bank,Las Vegas,NV,usbank
416,Tbm Electric,Henderson,NV,tbmelectricnv
417,Rebel Oil Company,Las Vegas,NV,RebelOilCompany
418,Grimaldi's Pizzeria,Las Vegas,NV,GrimaldisPizza
419,Insurance Specialists,Las Vegas,NV,QBEeo
420,Alliance Manpower,Phoenix,AZ,career_alliance
421,Tuesday Morning,Phoenix,AZ,TuesdayMorning
422,TV Mounting Service Free TV Mounts,Charlotte,NC,tvmountcharlott
423,Claire's Boutiques,Tempe,AZ,claires
424,Come For Nails,Tempe,AZ,Bellecheveux_SA
425,Fine Wine & Good Spirits,Pittsburgh,PA,PAWineSpirits
426,Brow Art 23,Pittsburgh,PA,BrowArt23
427,Jack in the Box,Las Vegas,NV,JackBox
428,Swing City,Pittsburgh,PA,SwingCityBand
429,Party Cake Shop,Pittsburgh,PA,candleandcake
430,Steve Miller Insurance,Las Vegas,NV,Insurance_Utah
431,Hampton Inn Pittsburgh University/Medical Center,Pittsburgh,PA,HamptonPITOK
432,Cvs Pharmacy,Phoenix,AZ,cvspharmacy
433,Pastries N Chaat,Phoenix,AZ,PNChaat_Tampa
434,Bestcare Dental,Las Vegas,NV,bestdentalcarel
435,McDonald's,Phoenix,AZ,McDonalds
436,New India Market,Las Vegas,NV,GulatiSpiceMkt
437,Smokers,Las Vegas,NV,JumpSmokers
438,Green Machine Pest Control,Gilbert,AZ,Greenmachinepc
439,Nanny's,Las Vegas,NV,Trish_the_Nanny
440,Almaz Bogale,Charlotte,NC,IHdjdufy
441,Papa John's Pizza,Phoenix,AZ,PapaJohns
442,Pitstop Performance,Phoenix,AZ,The_PC_Pitstop
443,Boulder Cascade,Las Vegas,NV,312cascade
444,Enterprise Rent-A-Car,Chandler,AZ,Enterprise
445,Pioneer Pawn,Mesa,AZ,PioneerPawn
446,Dobson Academy,Chandler,AZ,BazilTonka
447,Excellence Air,Las Vegas,NV,rafredarrows
448,CJ Auto Repair,Las Vegas,NV,CJsAutoRepair
449,The Simple Greek,Pittsburgh,PA,thesimplegreek
450,BurghBurgers,Pittsburgh,PA,BurghBurgers
451,Beall's Plumbing,Phoenix,AZ,beallsplumbing
452,The Club,Las Vegas,NV,TrumpGolfDC
453,Classic Beauty,Phoenix,AZ,LeightonMDaily
454,Walgreens,Tempe,AZ,Walgreens
455,Lindos Restaurant,Pittsburgh,PA,LindosDionysos
456,Oasis Cannabis,Las Vegas,NV,OasisCannabis
457,Liberty Mutual Insurance,Henderson,NV,LibertyB2B
458,DC Photography,Henderson,NV,BrunchGirl
459,Uptown Bar &  Lounge,Charlotte,NC,thepark112
